#{"t_start": 1580443176.142713, "env_id": "CartPole-v1"}
r,l,t
14.0,14,8.810862
44.0,44,8.854493
111.0,111,8.950493
123.0,123,9.066096
125.0,125,9.185602
20.0,20,9.214092
66.0,66,9.270408
17.0,17,9.285645
57.0,57,9.342846
22.0,22,9.361754
34.0,34,9.404807
116.0,116,9.520622
28.0,28,9.550329
26.0,26,9.572636
82.0,82,9.648326
40.0,40,9.701382
39.0,39,9.731598
59.0,59,9.785658
149.0,149,9.923631
37.0,37,9.950952
37.0,37,9.991556
67.0,67,10.053898
133.0,133,10.182588
